Parameters:
Efficiency Link 1: efficiency link: 0.003630780547701014, efficiency detector/source: 0.36
Efficiency Link 2: efficiency link: 0.004570881896148752, efficiency detector/source: 0.06
T_CUT = None, max_iter = 10000, mode=sim
Task 17: T_P = 4.641588833612782e-07, T_2 = 2.154434690031882, Fidelity = 0.7256566231619509, Key rate per time = 0.04171973311311732
Task 57: T_P = 2.1544346900318866e-08, T_2 = 2.154434690031882, Fidelity = 0.727157295644636, Key rate per time = 0.04231787508430828
Task 7: T_P = 1e-06, T_2 = 2.154434690031882, Fidelity = 0.7257206047957215, Key rate per time = 0.041495045614498835
Task 46: T_P = 4.641588833612782e-08, T_2 = 1.0, Fidelity = 0.6450375786827378, Key rate per time = 0.015173138539314256
Task 82: T_P = 2.1544346900318866e-09, T_2 = 0.046415888336127774, Fidelity = 0.5099338728408168, Key rate per time = -0.002631475175164206
Task 43: T_P = 4.641588833612782e-08, T_2 = 0.1, Fidelity = 0.5228956167966958, Key rate per time = -0.0022521742780295985
Task 77: T_P = 4.641588833612792e-09, T_2 = 2.154434690031882, Fidelity = 0.72577961446968, Key rate per time = 0.04161264794093363
Task 78: T_P = 4.641588833612792e-09, T_2 = 4.6415888336127775, Fidelity = 0.8154094197857139, Key rate per time = 0.08792504681738922
Task 81: T_P = 2.1544346900318866e-09, T_2 = 0.021544346900318832, Fidelity = 0.5047854760626277, Key rate per time = -0.0026703936548122557
Task 75: T_P = 4.641588833612792e-09, T_2 = 0.46415888336127775, Fidelity = 0.5847037100769452, Key rate per time = 0.003393192044894645
Task 72: T_P = 4.641588833612792e-09, T_2 = 0.046415888336127774, Fidelity = 0.5098496083914886, Key rate per time = -0.0026121502483048135
Task 50: T_P = 2.1544346900318866e-08, T_2 = 0.01, Fidelity = 0.5014631640262486, Key rate per time = -0.002716206015478439
Task 58: T_P = 2.1544346900318866e-08, T_2 = 4.6415888336127775, Fidelity = 0.8162420257501906, Key rate per time = 0.08845152589081759
Task 56: T_P = 2.1544346900318866e-08, T_2 = 1.0, Fidelity = 0.6450915757748258, Key rate per time = 0.015306490817830483
Task 59: T_P = 2.1544346900318866e-08, T_2 = 10.0, Fidelity = 0.8907422500571694, Key rate per time = 0.14406997721662776
Task 69: T_P = 1e-08, T_2 = 10.0, Fidelity = 0.8887792908053723, Key rate per time = 0.1402619365166665
Task 62: T_P = 1e-08, T_2 = 0.046415888336127774, Fidelity = 0.5098538334993924, Key rate per time = -0.0025970101322289976
Task 79: T_P = 4.641588833612792e-09, T_2 = 10.0, Fidelity = 0.8893313703129697, Key rate per time = 0.1416449345062469
Task 53: T_P = 2.1544346900318866e-08, T_2 = 0.1, Fidelity = 0.5227197094635208, Key rate per time = -0.002260826403005474
Task 80: T_P = 2.1544346900318866e-09, T_2 = 0.01, Fidelity = 0.501725373464584, Key rate per time = -0.0027208510763220145
Task 54: T_P = 2.1544346900318866e-08, T_2 = 0.21544346900318834, Fidelity = 0.5449923382166114, Key rate per time = -0.0009561592753133725
Task 74: T_P = 4.641588833612792e-09, T_2 = 0.21544346900318834, Fidelity = 0.5459308375072629, Key rate per time = -0.000920470918928121
Task 66: T_P = 1e-08, T_2 = 1.0, Fidelity = 0.6457736817013845, Key rate per time = 0.015491036585406433
Task 45: T_P = 4.641588833612782e-08, T_2 = 0.46415888336127775, Fidelity = 0.5852091577395484, Key rate per time = 0.0034683159461806183
Task 51: T_P = 2.1544346900318866e-08, T_2 = 0.021544346900318832, Fidelity = 0.5040614381779236, Key rate per time = -0.0026701677542462646
Task 63: T_P = 1e-08, T_2 = 0.1, Fidelity = 0.5233693317162604, Key rate per time = -0.002232922093556538
Task 68: T_P = 1e-08, T_2 = 4.6415888336127775, Fidelity = 0.8160529984146444, Key rate per time = 0.0882714789489921
Task 85: T_P = 2.1544346900318866e-09, T_2 = 0.46415888336127775, Fidelity = 0.5857391931114212, Key rate per time = 0.0035634113064410967
Task 73: T_P = 4.641588833612792e-09, T_2 = 0.1, Fidelity = 0.5217143511072275, Key rate per time = -0.0022962662862054534
Task 60: T_P = 1e-08, T_2 = 0.01, Fidelity = 0.50165991392482, Key rate per time = -0.0027099840103365527
Task 64: T_P = 1e-08, T_2 = 0.21544346900318834, Fidelity = 0.5436273418001232, Key rate per time = -0.0010695102762969713
Task 49: T_P = 4.641588833612782e-08, T_2 = 10.0, Fidelity = 0.8905456816797447, Key rate per time = 0.14408929277614602
Task 70: T_P = 4.641588833612792e-09, T_2 = 0.01, Fidelity = 0.5015651370755733, Key rate per time = -0.0026694938797213134
Task 86: T_P = 2.1544346900318866e-09, T_2 = 1.0, Fidelity = 0.6454911307284379, Key rate per time = 0.015223494670305171
Task 71: T_P = 4.641588833612792e-09, T_2 = 0.021544346900318832, Fidelity = 0.5040287951595197, Key rate per time = -0.0026439649841192986
Task 87: T_P = 2.1544346900318866e-09, T_2 = 2.154434690031882, Fidelity = 0.7253838271544885, Key rate per time = 0.04114938663199129
Task 76: T_P = 4.641588833612792e-09, T_2 = 1.0, Fidelity = 0.6467482704941756, Key rate per time = 0.01572729313843485
Task 55: T_P = 2.1544346900318866e-08, T_2 = 0.46415888336127775, Fidelity = 0.5845922185873623, Key rate per time = 0.00339992947423276
Task 84: T_P = 2.1544346900318866e-09, T_2 = 0.21544346900318834, Fidelity = 0.5419963034660041, Key rate per time = -0.0011819348742599992
Task 52: T_P = 2.1544346900318866e-08, T_2 = 0.046415888336127774, Fidelity = 0.5101190943283089, Key rate per time = -0.002635409070616535
Task 44: T_P = 4.641588833612782e-08, T_2 = 0.21544346900318834, Fidelity = 0.5447859685220752, Key rate per time = -0.000989961204620387
Task 48: T_P = 4.641588833612782e-08, T_2 = 4.6415888336127775, Fidelity = 0.8171335746751329, Key rate per time = 0.09007003891699354
Task 83: T_P = 2.1544346900318866e-09, T_2 = 0.1, Fidelity = 0.5222699359244652, Key rate per time = -0.0022625718512075304
Task 65: T_P = 1e-08, T_2 = 0.46415888336127775, Fidelity = 0.5823898989476485, Key rate per time = 0.003105005286238208
Task 67: T_P = 1e-08, T_2 = 2.154434690031882, Fidelity = 0.724593200751686, Key rate per time = 0.04106648952513647
